Open/CloseIndicator,Notes/Codes,CurrencyPrimary,FXRateToBase,AssetClass,Symbol,SecurityID,SecurityIDType,Quantity,Description,TradeID,Multiplier,Strike,ReportDate,Expiry,DateTime,TradeDate,SettleDateTarget,Exchange,TradePrice,TradeMoney,Proceeds,Taxes,IBCommission,IBCommissionCurrency,NetCash,ClosePrice,CostBasis,FifoPnlRealized,MtmPnl,Buy/Sell,IBOrderID,TransactionID,RelatedTransactionID,HoldingPeriodDateTime,WhenRealized,WhenReopened,OrderType,AccruedInterest,ChangeInQuantity,CUSIP,ISIN,FIGI
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,300,OXY 03AUG27 22 C,6351505842,1,22,6/3/2024,8/3/2027,6/3/2024 9:45,6/3/2024,6/4/2024,ARCA,39.63,11889,-11889,0,-1.5,USD,-11890.5,38.54,11890.5,0,-327,BUY,3288303676,27807067651,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,200,OXY 03AUG27 22 C,6351505959,1,22,6/3/2024,8/3/2027,6/3/2024 9:45,6/3/2024,6/4/2024,NYSE,39.64,7928,-7928,0,-1,USD,-7929,38.54,7929,0,-220,BUY,3288303676,27807067690,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,100,OXY 03AUG27 22 C,6351761309,1,22,6/3/2024,8/3/2027,6/3/2024 9:56,6/3/2024,6/4/2024,NYSE,39.35,3935,-3935,0,-1,USD,-3936,38.54,3936,0,-81,BUY,3288454061,27807873567,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,400,OXY 03AUG27 22 C,6351761482,1,22,6/3/2024,8/3/2027,6/3/2024 9:56,6/3/2024,6/4/2024,NYSE,39.35,15740,-15740,0,-1.5,USD,-15741.5,38.54,15741.5,0,-324,BUY,3288454061,27807873770,,,,,LMT,0,0,674599162,US6745991629,
O,,USD,1,WAR,OXY WS,US6745991629,ISIN,500,OXY 03AUG27 22 C,6352091263,1,22,6/3/2024,8/3/2027,6/3/2024 10:18,6/3/2024,6/4/2024,NYSE,39.18,19590,-19590,0,-2.5,USD,-19592.5,38.54,19592.5,0,-320,BUY,3288643362,27809070274,,,,,LMT,0,0,674599162,US6745991629,
O,,USD,1,WAR,OXY WS,US6745991629,ISIN,500,OXY 03AUG27 22 C,6352881888,1,22,6/3/2024,8/3/2027,6/3/2024 11:30,6/3/2024,6/4/2024,ISLAND,38.88,19440,-19440,0,-2.5,USD,-19442.5,38.54,19442.5,0,-170,BUY,3289077971,27811956111,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,281,OXY 03AUG27 22 C,6353434413,1,22,6/3/2024,8/3/2027,6/3/2024 12:41,6/3/2024,6/4/2024,BATS,38.35,10776.35,-10776.35,0,-1.405,USD,-10777.755,38.54,10777.755,0,53.39,BUY,3289398835,27813914823,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,219,OXY 03AUG27 22 C,6353434414,1,22,6/3/2024,8/3/2027,6/3/2024 12:41,6/3/2024,6/4/2024,ISLAND,38.39,8407.41,-8407.41,0,-1.095,USD,-8408.505,38.54,8408.505,0,32.85,BUY,3289398835,27813914829,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,281,OXY 03AUG27 22 C,6353456346,1,22,6/3/2024,8/3/2027,6/3/2024 12:45,6/3/2024,6/4/2024,ISLAND,38.34,10773.54,-10773.54,0,-1.405,USD,-10774.945,38.54,10774.945,0,56.2,BUY,3289410847,27814005737,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,219,OXY 03AUG27 22 C,6353456364,1,22,6/3/2024,8/3/2027,6/3/2024 12:45,6/3/2024,6/4/2024,ISLAND,38.34,8396.46,-8396.46,0,-1.095,USD,-8397.555,38.54,8397.555,0,43.8,BUY,3289410847,27814005771,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,200,OXY 03AUG27 22 C,6359938863,1,22,6/5/2024,8/3/2027,6/5/2024 9:46,6/5/2024,6/6/2024,NYSE,37.77,7554,-7554,0,-1,USD,-7555,37.87,7555,0,20,BUY,3293220892,27843805399,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,200,OXY 03AUG27 22 C,6359938984,1,22,6/5/2024,8/3/2027,6/5/2024 9:46,6/5/2024,6/6/2024,ARCA,37.77,7554,-7554,0,-1,USD,-7555,37.87,7555,0,20,BUY,3293220892,27843805421,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,100,OXY 03AUG27 22 C,6359939076,1,22,6/5/2024,8/3/2027,6/5/2024 9:46,6/5/2024,6/6/2024,NYSE,37.77,3777,-3777,0,-0.5,USD,-3777.5,37.87,3777.5,0,10,BUY,3293220892,27843805432,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,500,OXY 03AUG27 22 C,6359939112,1,22,6/5/2024,8/3/2027,6/5/2024 9:46,6/5/2024,6/6/2024,ISLAND,37.77,18885,-18885,0,-2.5,USD,-18887.5,37.87,18887.5,0,50,BUY,3293220892,27843805441,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,200,OXY 03AUG27 22 C,6361608640,1,22,6/5/2024,8/3/2027,6/5/2024 12:39,6/5/2024,6/6/2024,DRCTEDGE,37.87,7574,-7574,0,-1,USD,-7575,37.87,7575,0,0,BUY,3294228005,27849417930,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,100,OXY 03AUG27 22 C,6361608647,1,22,6/5/2024,8/3/2027,6/5/2024 12:39,6/5/2024,6/6/2024,NYSE,37.87,3787,-3787,0,-0.5,USD,-3787.5,37.87,3787.5,0,0,BUY,3294228005,27849417935,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,47,OXY 03AUG27 22 C,6361614780,1,22,6/5/2024,8/3/2027,6/5/2024 12:39,6/5/2024,6/6/2024,NYSE,37.87,1779.89,-1779.89,0,-0.235,USD,-1780.125,37.87,1780.125,0,0,BUY,3294228005,27849440584,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,200,OXY 03AUG27 22 C,6361614781,1,22,6/5/2024,8/3/2027,6/5/2024 12:39,6/5/2024,6/6/2024,ARCA,37.87,7574,-7574,0,-1,USD,-7575,37.87,7575,0,0,BUY,3294228005,27849440589,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,200,OXY 03AUG27 22 C,6361614794,1,22,6/5/2024,8/3/2027,6/5/2024 12:39,6/5/2024,6/6/2024,ISLAND,37.87,7574,-7574,0,-1,USD,-7575,37.87,7575,0,0,BUY,3294228005,27849440593,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,53,OXY 03AUG27 22 C,6361614812,1,22,6/5/2024,8/3/2027,6/5/2024 12:39,6/5/2024,6/6/2024,DRCTEDGE,37.87,2007.11,-2007.11,0,-0.265,USD,-2007.375,37.87,2007.375,0,0,BUY,3294228005,27849440596,,,,,LMT,0,0,674599162,US6745991629,
O,P,USD,1,WAR,OXY WS,US6745991629,ISIN,200,OXY 03AUG27 22 C,6361614895,1,22,6/5/2024,8/3/2027,6/5/2024 12:39,6/5/2024,6/6/2024,NYSE,37.87,7574,-7574,0,-1,USD,-7575,37.87,7575,0,0,BUY,3294228005,27849440599,,,,,LMT,0,0,674599162,US6745991629,
