"Open/CloseIndicator","Notes/Codes","CurrencyPrimary","FXRateToBase","AssetClass","Symbol","Description","Conid","SecurityID","SecurityIDType","CUSIP","ISIN","FIGI","ListingExchange","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","TradeID","Multiplier","Strike","ReportDate","Expiry","DateTime","TradeDate","SettleDateTarget","Exchange","Quantity","TradePrice","TradeMoney","Proceeds","Taxes","IBCommission","IBCommissionCurrency","NetCash","ClosePrice","CostBasis","FifoPnlRealized","MtmPnl","Buy/Sell","IBOrderID","TransactionID","RelatedTransactionID","HoldingPeriodDateTime","WhenRealized","WhenReopened","OrderType","AccruedInterest","ChangeInQuantity"
"C","LI;P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6311462854","1","22","05/17/2024","08/03/2027","05/17/2024 12:58:05","05/17/2024","05/21/2024","NYSE","-100","41.1","-4110","4110","0","-1.04948","USD","4108.95052","41.5","-3527.5","581.45052","-40","SELL","3265587210","27639020368","","","","","LMT","0","0"
"C","LI;P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6311462857","1","22","05/17/2024","08/03/2027","05/17/2024 12:58:05","05/17/2024","05/21/2024","NYSE","-200","41.1","-8220","8220","0","-0.59896","USD","8219.40104","41.5","-7055","1164.40104","-80","SELL","3265587210","27639020374","","","","","LMT","0","0"
"C","LI;P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6311462866","1","22","05/17/2024","08/03/2027","05/17/2024 12:58:05","05/17/2024","05/21/2024","NYSE","-100","41.1","-4110","4110","0","-0.54948","USD","4109.45052","41.5","-3527.5","581.95052","-40","SELL","3265587210","27639020378","","","","","LMT","0","0"
"C","LI;P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6311462870","1","22","05/17/2024","08/03/2027","05/17/2024 12:58:05","05/17/2024","05/21/2024","NYSE","-100","41.1","-4110","4110","0","-0.54948","USD","4109.45052","41.5","-3527.5","581.95052","-40","SELL","3265587210","27639020382","","","","","LMT","0","0"
"C","LI","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6312307233","1","22","05/17/2024","08/03/2027","05/17/2024 15:17:13","05/17/2024","05/21/2024","NYSE","-500","41.39","-20695","20695","0","-2.74856","USD","20692.25144","41.5","-17477.5","3214.75144","-55","SELL","3266033633","27641847072","","","","","LMT","0","0"
"O","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6323534801","1","22","05/22/2024","08/03/2027","05/22/2024 14:23:23","05/22/2024","05/24/2024","NYSE","245","40.5","9922.5","-9922.5","0","-1.225","USD","-9923.725","40.71","9923.725","0","51.45","BUY","3272189641","27688991020","","","","","LMT","0","0"
"O","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6323534814","1","22","05/22/2024","08/03/2027","05/22/2024 14:23:23","05/22/2024","05/24/2024","NYSE","100","40.5","4050","-4050","0","-0.5","USD","-4050.5","40.71","4050.5","0","21","BUY","3272189641","27688991026","","","","","LMT","0","0"
"O","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6323534822","1","22","05/22/2024","08/03/2027","05/22/2024 14:23:23","05/22/2024","05/24/2024","NYSE","155","40.5","6277.5","-6277.5","0","-0.775","USD","-6278.275","40.71","6278.275","0","32.55","BUY","3272189641","27688991030","","","","","LMT","0","0"
"O","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6328325076","1","22","05/23/2024","08/03/2027","05/23/2024 14:42:27","05/23/2024","05/28/2024","NYSE","256","39.88","10209.28","-10209.28","0","-1.28","USD","-10210.56","40","10210.56","0","30.72","BUY","3274921958","27707118243","","","","","LMT","0","0"
"O","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6328325092","1","22","05/23/2024","08/03/2027","05/23/2024 14:42:27","05/23/2024","05/28/2024","NYSE","244","39.88","9730.72","-9730.72","0","-1.22","USD","-9731.94","40","9731.94","0","29.28","BUY","3274921958","27707118258","","","","","LMT","0","0"
"C","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6329739704","1","22","05/24/2024","08/03/2027","05/24/2024 09:34:59","05/24/2024","05/29/2024","DRCTEDGE","-100","40.2","-4020","4020","0","-1.128356","USD","4018.871644","39.94","-325.5","3693.371644","26","SELL","3275749443","27715945643","","","","","LMT","0","0"
"C","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6329739798","1","22","05/24/2024","08/03/2027","05/24/2024 09:34:59","05/24/2024","05/29/2024","ISLAND","-100","40.18","-4018","4018","0","-0.1283004","USD","4017.8716996","39.94","-325.5","3692.3717","24","SELL","3275749443","27715945690","","","","","LMT","0","0"
"C","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6329739941","1","22","05/24/2024","08/03/2027","05/24/2024 09:34:59","05/24/2024","05/29/2024","NYSE","-100","40.18","-4018","4018","0","-0.6283004","USD","4017.3716996","39.94","-325.5","3691.8717","24","SELL","3275749443","27715945728","","","","","LMT","0","0"
"C","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6329740150","1","22","05/24/2024","08/03/2027","05/24/2024 09:34:59","05/24/2024","05/29/2024","ARCA","-100","40.18","-4018","4018","0","-0.6283004","USD","4017.3716996","39.94","-325.5","3691.8717","24","SELL","3275749443","27715945763","","","","","LMT","0","0"
"C","P","USD","1","WAR","OXY WS","OXY 03AUG27 22 C","431821614","US6745991629","ISIN","674599162","US6745991629","","NYSE","10880","OXY","US6745991058","NYSE","SELF","","6329740371","1","22","05/24/2024","08/03/2027","05/24/2024 09:34:59","05/24/2024","05/29/2024","NYSE","-100","40.18","-4018","4018","0","-0.6283004","USD","4017.3716996","39.94","-325.5","3691.8717","24","SELL","3275749443","27715945796","","","","","LMT","0","0"
"O","","USD","1","WAR","SKYH WS","SKYH 25JAN27 11.5 C","541197891","US83085C1154","ISIN","","US83085C1154","","AMEX","541197792","SKYH","US83085C1071","AMEX","SELF","","6319359781","1","11.5","05/21/2024","01/25/2027","05/21/2024 12:41:55","05/21/2024","05/23/2024","ARCA","221","1.45","320.45","-320.45","0","-1.105","USD","-321.555","1.35","321.555","0","-22.1","BUY","3269888738","27672208922","","","","","LMT","0","0"
"O","P","USD","1","WAR","SKYH WS","SKYH 25JAN27 11.5 C","541197891","US83085C1154","ISIN","","US83085C1154","","AMEX","541197792","SKYH","US83085C1071","AMEX","SELF","","6319364345","1","11.5","05/21/2024","01/25/2027","05/21/2024 12:42:34","05/21/2024","05/23/2024","BATS","289","1.49","430.61","-430.61","0","-1.445","USD","-432.055","1.35","432.055","0","-40.46","BUY","3269891383","27672221984","","","","","LMT","0","0"
"O","P","USD","1","WAR","SKYH WS","SKYH 25JAN27 11.5 C","541197891","US83085C1154","ISIN","","US83085C1154","","AMEX","541197792","SKYH","US83085C1071","AMEX","SELF","","6319364349","1","11.5","05/21/2024","01/25/2027","05/21/2024 12:42:34","05/21/2024","05/23/2024","ARCA","100","1.49","149","-149","0","-0.5","USD","-149.5","1.35","149.5","0","-14","BUY","3269891383","27672221996","","","","","LMT","0","0"
"O","P","USD","1","WAR","SKYH WS","SKYH 25JAN27 11.5 C","541197891","US83085C1154","ISIN","","US83085C1154","","AMEX","541197792","SKYH","US83085C1071","AMEX","SELF","","6319364367","1","11.5","05/21/2024","01/25/2027","05/21/2024 12:42:34","05/21/2024","05/23/2024","ARCA","389","1.49","579.61","-579.61","0","-1.945","USD","-581.555","1.35","581.555","0","-54.46","BUY","3269891383","27672221999","","","","","LMT","0","0"
"O","P","USD","1","WAR","SKYH WS","SKYH 25JAN27 11.5 C","541197891","US83085C1154","ISIN","","US83085C1154","","AMEX","541197792","SKYH","US83085C1071","AMEX","SELF","","6319364372","1","11.5","05/21/2024","01/25/2027","05/21/2024 12:42:34","05/21/2024","05/23/2024","BATS","100","1.49","149","-149","0","-0.5","USD","-149.5","1.35","149.5","0","-14","BUY","3269891383","27672222002","","","","","LMT","0","0"
"O","P","USD","1","WAR","SKYH WS","SKYH 25JAN27 11.5 C","541197891","US83085C1154","ISIN","","US83085C1154","","AMEX","541197792","SKYH","US83085C1071","AMEX","SELF","","6319364403","1","11.5","05/21/2024","01/25/2027","05/21/2024 12:42:34","05/21/2024","05/23/2024","BATS","100","1.49","149","-149","0","-0.5","USD","-149.5","1.35","149.5","0","-14","BUY","3269891383","27672222005","","","","","LMT","0","0"
"O","P","USD","1","WAR","SKYH WS","SKYH 25JAN27 11.5 C","541197891","US83085C1154","ISIN","","US83085C1154","","AMEX","541197792","SKYH","US83085C1071","AMEX","SELF","","6319364419","1","11.5","05/21/2024","01/25/2027","05/21/2024 12:42:39","05/21/2024","05/23/2024","ARCA","601","1.49","895.49","-895.49","0","-3.005","USD","-898.495","1.35","898.495","0","-84.14","BUY","3269891383","27672222013","","","","","LMT","0","0"
"O","P","USD","1","WAR","SKYH WS","SKYH 25JAN27 11.5 C","541197891","US83085C1154","ISIN","","US83085C1154","","AMEX","541197792","SKYH","US83085C1071","AMEX","SELF","","6319364442","1","11.5","05/21/2024","01/25/2027","05/21/2024 12:42:45","05/21/2024","05/23/2024","ARCA","200","1.49","298","-298","0","-1","USD","-299","1.35","299","0","-28","BUY","3269891383","27672222052","","","","","LMT","0","0"
