self_generated_trade_id,dim_security_id,transaction_id,open_close,side,quantity,date_time_trade,settle_date,time_zone,trade_price,taxes,commission,cost_basis,order_type
0760abe7-5b5b-41e8-bcc9-3fbe9b9db579,3bc496d4-6195-43df-8f80-bf15f83348d8,98225222,O,Long,4000,6/11/2024 9:49,6/10/2024 9:25,UTC -5,52400,0,524000,210124000,LMT
26b4276e-f707-449e-af84-49c4e61f6b93,3bc496d4-6195-43df-8f80-bf15f83348d8,98389564,O,Long,8000,6/12/2024 13:37,6/11/2024 9:52,UTC -5,50478,0,1009560,404833560,LMT
295ed8a4-9f24-4f37-b745-25d56c8ccb39,3bc496d4-6195-43df-8f80-bf15f83348d8,98104683,O,Long,2000,6/10/2024 9:24,z,UTC -5,52600,0,263000,105463000,LMT
31268afb-395a-4dec-b8d2-ba7fa1b81061,3bc496d4-6195-43df-8f80-bf15f83348d8,98225395,O,Long,4000,6/11/2024 9:50,6/10/2024 9:28,UTC -5,51800,0,518000,207718000,LMT
382d507a-1aed-47b0-b9a0-8196d22b9d36,c7a0acef-00f7-46d3-9ee1-11ff32f228ec,98106924,C,Long,5000,6/10/2024 9:28,6/10/2024 9:24,UTC -5,29250,-146250,365625,NaN,LMT
460f31fe-1810-4012-be6f-efebe10edef1,efe2cab9-d210-4e1a-bf45-ad5684a22410,99124806,C,Long,4100,6/21/2024 10:20,6/11/2024 9:56,UTC -5,66700,-273470,683675,NaN,LMT
46ae8296-076b-438a-8c38-d0fb011e50f4,6f065e6b-da61-4bd9-affd-82a9e1b05904,99125326,O,Long,8700,6/21/2024 10:22,6/12/2024 13:37,UTC -5,37529,0,816255.75,327318555.8,LMT
706832e0-7651-4bec-9c3d-7aa2e2e1c72c,6f065e6b-da61-4bd9-affd-82a9e1b05904,98228589,O,Long,10000,6/11/2024 9:56,6/11/2024 9:50,UTC -5,38400,0,960000,384960000,LMT
85f816e6-e02b-4db9-a191-9f71bb42a51c,3bc496d4-6195-43df-8f80-bf15f83348d8,98226367,O,Long,2000,6/11/2024 9:52,6/11/2024 9:49,UTC -5,52100,0,260500,104460500,LMT
b87eed78-4042-42a7-b8c6-5b4386787567,3bc496d4-6195-43df-8f80-bf15f83348d8,98105167,O,Long,2000,6/10/2024 9:25,NULL,UTC -5,52500,0,262500,105262500,LMT
e2b36f75-943e-4f87-9d5e-d45d703061cb,6f065e6b-da61-4bd9-affd-82a9e1b05904,99126767,O,Long,10000,6/21/2024 10:25,6/21/2024 10:20,UTC -5,37550,0,938750,376438750,LMT
